full_name,primary_channel,primary_match_reason,primary_confidence,all_channels,channel_count
fdp_prd_srv_internal.srv_internal_korora.shipment_container_tracking_summary_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_cfin_consol_vpcm_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_consolidated_profit_and_loss_actual_myanmar_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_consolidated_profit_and_loss_actual_thailand_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_consolidated_project_reporting_actual_plan_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_oceania_cogs_daily_sales_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_unconsolidated_profit_and_loss_actual_myanmar_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_unconsolidated_profit_and_loss_actual_portfolio_optimizations_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_unconsolidated_profit_and_loss_actual_thailand_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_unconsolidated_profit_and_loss_one_plan_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_finance.fact_unconsolidated_profit_and_loss_product_portfolio_management_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_people_data.monthly_organisation_general_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_people_data.monthly_organisation_hr_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_people_data.org_department_hierarchy_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_people_data.org_positions_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_people_data.weekly_organisation_general_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_srv_restricted.srv_restricted_people_data.weekly_organisation_hr_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_std_internal.std_internal_mainland.dim_nz_basket_market,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_basket_market_hist,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_basket_period,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_basket_period_hist,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_basket_product,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_basket_product_hist,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_beverages_market,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_beverages_market_hist,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_beverages_period,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_beverages_period_hist,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_beverages_product,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.dim_nz_beverages_product_hist,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.fact_nz_basket_aggregated,A,whole_schema_mainland,HIGH,A,1
fdp_prd_std_internal.std_internal_mainland.fact_nz_beverages_aggregated,A,whole_schema_mainland,HIGH,A,1
fdp_dev_std_internal.std_internal_jde.account_balances,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.account_ledger,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.account_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.account_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.accounts_payable_ledger,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.accounts_payable_matching_document__f0413,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.accounts_payable_matching_document__f0413_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.accounts_payable_matching_document_detail__f0414,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_book_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_book_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_book_phone_numbers__f0115,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_book_phone_numbers__f0115_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_by_date,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_by_date_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_organisation_structure_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_organisation_structure_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_organization_structure_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.address_organization_structure_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.ariba_bods_supplier__f0115,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.ariba_bods_supplier__f01151,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.ariba_bods_supplier__f01151_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.ariba_bods_supplier__f0115_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.asset_account_balances_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.asset_master_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.asset_master_file_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.bank_details__f0030,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.bank_details__f0030_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.business_unit_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.business_unit_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.company_constants,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.company_constants_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.currency_exchange_rate,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.currency_exchange_rate_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.customer_ledger__f03b11,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.customer_master_by_line_of_business,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.customer_master_by_line_of_business_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.electronic_address__f01151,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.electronic_address__f01151_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_branch_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_branch_file_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_branch_plant,C,high_density_source:jde_95pct,HIGH,C,1
