node,is_seed,first_seen_hop,first_seen_dir,n_upstream,n_upstream_mainland,n_downstream,n_downstream_mainland,mainland_in_ratio,mainland_out_ratio,bridge_score,category,sep_business_entity,sep_location,sep_employee,sep_customer,sep_material,sep_sales_org,catalog,schema,table_name
fdp_prd_std_internal.std_internal_sup.dm_material_composition,false,1,down,4,1,2,0,0.250,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_sup,dm_material_composition
fdp_prd_std_internal.std_internal_tpm.shipment_baseline__int304,false,1,down,11,10,0,0,0.909,,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_tpm,shipment_baseline__int304
fdp_dev_itg_internal.itg_internal_inventory.mld_snp_supply_plan,false,1,down,4,4,1,1,1.000,1.000,0.000,MAINLAND_INTERIOR,0,0,0,0,0,0,fdp_dev_itg_internal,itg_internal_inventory,mld_snp_supply_plan
fdp_dev_std_internal.std_internal_sapanzecc.mld_consolidated_inventory,false,1,down,14,14,1,1,1.000,1.000,0.000,MAINLAND_INTERIOR,0,0,0,0,0,0,fdp_dev_std_internal,std_internal_sapanzecc,mld_consolidated_inventory
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_summary_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_itg_internal,itg_internal_korora,shipment_container_tracking_agg_summary_mainland
fdp_dev_itg_restricted.itg_restricted_mainland.au_farm_milksupply,false,1,down,2,2,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_itg_restricted,itg_restricted_mainland,au_farm_milksupply
fdp_dev_itg_restricted.itg_restricted_mainland.au_farm_milksupply_fufcst,false,1,down,2,2,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_itg_restricted,itg_restricted_mainland,au_farm_milksupply_fufcst
fdp_dev_srv_internal.srv_internal_energy_and_utilities.distributed_actual_gas_usage_daily_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_energy_and_utilities,distributed_actual_gas_usage_daily_mainland
fdp_dev_srv_internal.srv_internal_energy_and_utilities.distributed_actual_gas_usage_hourly,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_energy_and_utilities,distributed_actual_gas_usage_hourly
fdp_dev_srv_internal.srv_internal_energy_and_utilities.distributed_actual_gas_usage_hourly_mainland,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_energy_and_utilities,distributed_actual_gas_usage_hourly_mainland
